长臂复合弓,弓,50 ★,1,,染血弓背,1,云杉木材,1
南海厨房,桌台,70 ★★,2,,黑柳木材,4,玉钢锭,3,白铜块,2,切石,4,白钢折叶,2
莫古力书架,桌台,70 ★★,2,,榧木木材,4,玄钢板,5,硬银块,3,钴铁铆钉,2
悬挂橱柜,壁挂,70 ★★,2,,榧木木材,4,硬银块,2,钴铁连接板,2
厨具架,壁挂,70 ★★,2,,榧木木材,1,铬铁锭,1,卸铁锭,2,葛布,1,钴铁连接板,2
黑柳大弓,弓,70 ★★★,3,,黑柳木材,3,清银锭,1,魔象革,2,丰饶灵砂,3,3级巧力之灵水,3
黑柳长枪,长枪,70 ★★★,3,,黑柳木材,3,夜钢锭,1,石青,2,丰饶灵砂,3,3级刚力之灵水,3
黑柳牧杖,双手幻杖,70 ★★★,3,,黑柳木材,3,清银锭,1,翠银锭,1,琅玕,2,丰饶灵砂,3,3级意力之灵水,3
清银砂轮机,雕金工具（副工具）,70 ★★★,3,,鹰眼砂,3,黑柳木材,4,清银锭,2,黄金锭,1,半魔晶石壹型,5
黑柳纺车,裁衣工具（副工具）,70 ★★★,3,,鹰眼砂,3,黑柳木材,6,钯金块,1,黄金锭,1,半魔晶石壹型,5
黑柳钓竿,捕鱼用具（主工具）,70 ★★★,3,,鹰眼砂,3,黑柳木材,6,夜钢锭,2,黄金锭,1,半魔晶石壹型,5
山师笠,头部防具,70 ★★★,3,,古木树液,2,黑柳木材,4,真麻布,2,柿漆,1,半魔晶石壹型,4
黑柳御敌项链,项链,70 ★★★,3,,黑柳木材,2,钯金块,1,悠久灵砂,1,3级耐力之灵水,1
黑柳强攻项链,项链,70 ★★★,3,,黑柳木材,2,钯金块,1,悠久灵砂,1,3级刚力之灵水,1
黑柳精准项链,项链,70 ★★★,3,,黑柳木材,2,钯金块,1,悠久灵砂,1,3级巧力之灵水,1
黑柳治愈项链,项链,70 ★★★,3,,黑柳木材,2,钯金块,1,悠久灵砂,1,3级意力之灵水,1
黑柳咏咒项链,项链,70 ★★★,3,,黑柳木材,2,钯金块,1,悠久灵砂,1,3级智力之灵水,1
黑柳巧匠项链,项链,70 ★★★,3,,鹰眼砂,1,黑柳木材,4,清漆,1,半魔晶石壹型,3
黑柳御敌腕环,手镯,70 ★★★,3,,黑柳木材,2,钯金块,1,丰饶灵砂,1,3级耐力之灵水,1
黑柳强攻腕环,手镯,70 ★★★,3,,黑柳木材,2,钯金块,1,丰饶灵砂,1,3级刚力之灵水,1
黑柳精准腕环,手镯,70 ★★★,3,,黑柳木材,2,钯金块,1,丰饶灵砂,1,3级巧力之灵水,1
黑柳治愈腕环,手镯,70 ★★★,3,,黑柳木材,2,钯金块,1,丰饶灵砂,1,3级意力之灵水,1
黑柳咏咒腕环,手镯,70 ★★★,3,,黑柳木材,2,钯金块,1,丰饶灵砂,1,3级智力之灵水,1
黑柳巧匠腕环,手镯,70 ★★★,3,,鹰眼砂,1,黑柳木材,4,清漆,1,半魔晶石壹型,3
黑柳巧匠戒指,戒指,70 ★★★,3,,鹰眼砂,1,黑柳木材,2,清漆,1,半魔晶石壹型,3
黑柳木材,木材,70 ★★★,3,,黑柳原木,4,萨维奈粘着剂,2
白虎边桌,桌台,70 ★★★,3,,白虎鬃毛,1,卸铁锭,3,松木木材,2
罗刹大弓,弓,70 ★★★★,4,,乌仑代硬木木材,3,常辉钢锭,1,柿木木材,1,4级巧力之灵水,3
罗刹锡杖,双手幻杖,70 ★★★★,4,,乌仑代硬木木材,3,常辉钢锭,1,柿木木材,1,4级意力之灵水,3
罗刹豪士首饰,项链,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级耐力之灵水,1
罗刹斗士首饰,项链,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级刚力之灵水,1
罗刹弓士首饰,项链,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级巧力之灵水,1
罗刹学士首饰,项链,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级意力之灵水,1
罗刹术士首饰,项链,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级智力之灵水,1
罗刹豪士手饰,手镯,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级耐力之灵水,1
罗刹斗士手饰,手镯,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级刚力之灵水,1
罗刹弓士手饰,手镯,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级巧力之灵水,1
罗刹学士手饰,手镯,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级意力之灵水,1
罗刹术士手饰,手镯,70 ★★★★,4,,乌仑代硬木木材,1,大袋鼠革,1,翠银块,1,琅玕,1,4级智力之灵水,1
乌仑代硬木木材,木材,70 ★★★★,4,,乌仑代硬木原木,4,黑吕色漆,2
朱雀的壁挂雕塑,壁挂,70 ★★★★,4,,朱雀的尾部羽毛,1,黑柳木材,2,榧木木材,1,钯金锭,1,清漆,1
魔法飞床,其他,80 ★,1,,附魔榆木木材,3,棉绒,4,白云花,4
海岛之弓,弓,80 ★★,2,,檀香木木材,3,重钨钢锭,1,黑玛瑙,1,石金块,1,2级巧力之幻水,3
行空,长枪,80 ★★,2,,檀香木木材,2,重钨钢锭,2,黑玛瑙,1,石金块,1,2级刚力之幻水,3
催化之杖,双手咒杖,80 ★★,2,,檀香木木材,2,重钨钢锭,1,虹结晶石材,1,黑玛瑙,1,2级智力之幻水,3
再陷艰辛劳苦之惧,双手咒杖,80 ★★,2,,檀香木木材,3,虹结晶石材,2,黑玛瑙,1,哈迪斯结晶片,1,半魔晶石壹型,8
净路之杖,双手幻杖,80 ★★,2,,檀香木木材,2,虹结晶石材,2,黑玛瑙,1,石金块,1,2级意力之幻水,3
中庸砂轮机,雕金工具（副工具）,80 ★★,2,,矾土磨刀石,3,檀香木木材,3,矮人银块,1,高纯度炼金药,2,古树灵砂,1
中庸纺车,裁衣工具（副工具）,80 ★★,2,,矾土磨刀石,3,檀香木木材,3,矮人银块,1,高纯度炼金药,2,险山灵砂,1
中庸钓竿,捕鱼用具（主工具）,80 ★★,2,,矾土磨刀石,3,檀香木木材,3,矮人银块,1,高纯度炼金药,2,一水灵砂,1
檀香木木材,木材,80 ★★,2,,檀香木原木,4,工艺馆特制清漆,2
改良用的长杆,木材,80 ★★,2,,改良用的硅化木,1,沙柚木木材,1
改良用雪松木材,木材,80 ★★,2,,改良用雪松原木,1,愈疮木原木,2
伊修加德新型长弓,弓,80 ★★★,3,,印茄木材,2,尊紫珠,2,矮人银锭,1,3级巧力之幻水,2,险山灵砂,1
伊修加德新型牧杖,双手幻杖,80 ★★★,3,,印茄木材,2,尊紫珠,2,海燕革,1,3级意力之幻水,2,一水灵砂,1
唯美砂轮机,雕金工具（副工具）,80 ★★★,3,,炮铜板,3,印茄木材,5,钴铁合金锭,2,翠辰砂,3
唯美纺车,裁衣工具（副工具）,80 ★★★,3,,炮铜板,3,印茄木材,5,尊紫珠,2,翠辰砂,3
唯美钓竿,捕鱼用具（主工具）,80 ★★★,3,,炮铜板,3,印茄木材,5,钴铁合金锭,2,翠辰砂,3
唯美大地项链,项链,80 ★★★,3,,工匠的炼金溶剂,2,印茄木材,3,古巨蜥革,1,翠辰砂,2
伊修加德新型御敌耳坠,耳饰,80 ★★★,3,,印茄木材,2,愈疮木木材,1,3级耐力之幻水,1,古树灵砂,1
伊修加德新型强攻耳坠,耳饰,80 ★★★,3,,印茄木材,2,愈疮木木材,1,3级刚力之幻水,1,古树灵砂,1
伊修加德新型精准耳坠,耳饰,80 ★★★,3,,印茄木材,2,愈疮木木材,1,3级巧力之幻水,1,古树灵砂,1
伊修加德新型治愈耳坠,耳饰,80 ★★★,3,,印茄木材,2,愈疮木木材,1,3级意力之幻水,1,古树灵砂,1
伊修加德新型咏咒耳坠,耳饰,80 ★★★,3,,印茄木材,2,愈疮木木材,1,3级智力之幻水,1,古树灵砂,1
唯美大地耳坠,耳饰,80 ★★★,3,,工匠的炼金溶剂,2,印茄木材,3,古巨蜥革,1,翠辰砂,2
唯美大地手环,手镯,80 ★★★,3,,工匠的炼金溶剂,2,印茄木材,3,古巨蜥革,1,翠辰砂,2
伊修加德新型御敌指环,戒指,80 ★★★,3,,印茄木材,1,尊紫珠,1,愈疮木木材,1,3级耐力之幻水,1,一水灵砂,1
伊修加德新型强攻指环,戒指,80 ★★★,3,,印茄木材,1,尊紫珠,1,愈疮木木材,1,3级刚力之幻水,1,一水灵砂,1
伊修加德新型精准指环,戒指,80 ★★★,3,,印茄木材,1,尊紫珠,1,愈疮木木材,1,3级巧力之幻水,1,一水灵砂,1
伊修加德新型治愈指环,戒指,80 ★★★,3,,印茄木材,1,尊紫珠,1,愈疮木木材,1,3级意力之幻水,1,一水灵砂,1
伊修加德新型咏咒指环,戒指,80 ★★★,3,,印茄木材,1,尊紫珠,1,愈疮木木材,1,3级智力之幻水,1,一水灵砂,1
唯美大地指环,戒指,80 ★★★,3,,工匠的炼金溶剂,2,印茄木材,3,古巨蜥革,1,翠辰砂,2
印茄木材,木材,80 ★★★,3,,印茄原木,4,黑风海粘着剂,2
改良用雪松板材,木材,80 ★★★,3,,改良用雪松原木,1,愈疮木木材,1
第二期重建用的特供衣柜,杂货,80 ★★★,3,,第二期重建用的幻风木（检）,5,第二期重建用的特供原木（检）,10,第二期重建用的特供小麦（检）,10,第二期重建用的特供树汁块（检）,10
总督长枪,长枪,80 ★★★★,4,,银山毛榉木材,2,白夜结晶板,2,4级刚力之幻水,2,矮人银锭,1,雷鸣灵砂,2
总督牧杖,双手幻杖,80 ★★★★,4,,银山毛榉木材,2,白夜结晶板,2,4级意力之幻水,2,矮人银块,1,雷鸣灵砂,2
总督御敌项环,项链,80 ★★★★,4,,银山毛榉木材,1,袋狮革,1,4级耐力之幻水,1,矮人银块,1,雷鸣灵砂,1
总督强攻项环,项链,80 ★★★★,4,,银山毛榉木材,1,袋狮革,1,4级刚力之幻水,1,矮人银块,1,雷鸣灵砂,1
总督精准项环,项链,80 ★★★★,4,,银山毛榉木材,1,袋狮革,1,4级巧力之幻水,1,矮人银块,1,雷鸣灵砂,1
总督治愈项环,项链,80 ★★★★,4,,银山毛榉木材,1,袋狮革,1,4级意力之幻水,1,矮人银块,1,雷鸣灵砂,1
总督咏咒项环,项链,80 ★★★★,4,,银山毛榉木材,1,袋狮革,1,4级智力之幻水,1,矮人银块,1,雷鸣灵砂,1
总督御敌手镯,手镯,80 ★★★★,4,,银山毛榉木材,1,白夜结晶板,1,4级耐力之幻水,1,海燕革,1,雷鸣灵砂,1
总督强攻手镯,手镯,80 ★★★★,4,,银山毛榉木材,1,白夜结晶板,1,4级刚力之幻水,1,海燕革,1,雷鸣灵砂,1
总督精准手镯,手镯,80 ★★★★,4,,银山毛榉木材,1,白夜结晶板,1,4级巧力之幻水,1,海燕革,1,雷鸣灵砂,1
总督治愈手镯,手镯,80 ★★★★,4,,银山毛榉木材,1,白夜结晶板,1,4级意力之幻水,1,海燕革,1,雷鸣灵砂,1
总督咏咒手镯,手镯,80 ★★★★,4,,银山毛榉木材,1,白夜结晶板,1,4级智力之幻水,1,海燕革,1,雷鸣灵砂,1
银山毛榉木材,木材,80 ★★★★,4,,银山毛榉原木,4,马尾草,2
第三期重建用的特供金匠工作台,杂货,80 ★★★★,4,,第三期重建用的幻火矿（检）,5,第三期重建用的特供原木（检）,10,第三期重建用的特供大米（检）,10,第三期重建用的特供琥珀（检）,10
最终改良用松木木材,木材,80 ★★★★,4,,最终改良用松木原木,1,第四期重建用的特供原木（检）,5,第四期重建用的特供木贼草（检）,5
第四期重建用的特供冰盒,杂货,80 ★★★★,4,,第四期重建用的幻风树枝（检）,5,第四期重建用的特供冰笋（检）,10,第四期重建用的特供原木（检）,10,第四期重建用的特供木贼草（检）,10
辉煌工具的第一次加工部件：刻木,杂货,80 ★★★★,4,,辉煌工具的第一次加工素材：刻木,1
辉煌工具的第二次加工部件：刻木,杂货,80 ★★★★,4,,辉煌工具的第二次加工素材：刻木,2
